iter	RMSE
173	1.94249439
174	1.940631742
175	1.934749943
176	1.933258192
177	1.929831186
178	1.929017378
179	1.92651282
180	1.923683598
181	1.920852956
182	1.917918364
183	1.916436914
184	1.913930443
185	1.913158055
186	1.911033586
187	1.906653529
188	1.903643708
189	1.902398908
190	1.901664924
191	1.899641284
192	1.895496975
193	1.892942452
194	1.89091395
195	1.88725161
196	1.885385677
197	1.882973251
198	1.8809717
199	1.87877253
200	1.871364602
201	1.870095664
202	1.867559045
203	1.866850573
204	1.862951755
205	1.858228707
206	1.854743719
207	1.851867943
208	1.850377985
209	1.849059137
210	1.847367392
211	1.842534231
212	1.841832335
213	1.838195632
214	1.835169674
215	1.834008697
216	1.831927979
217	1.830263459
218	1.829127718
219	1.827013828
220	1.825391373
221	1.824713222
222	1.821473391
223	1.812874617
224	1.811188979
225	1.806961775
226	1.805546555
227	1.801210835
228	1.800544524
229	1.798435558
230	1.791151413
231	1.786844408
232	1.784839413
233	1.781925142
234	1.780775701
235	1.778548394
236	1.777519913
237	1.77549101
238	1.773249229
239	1.767459355
240	1.765671679
241	1.765038863
242	1.764410978
243	1.762347221
244	1.756591926
245	1.750197232
246	1.74917364
247	1.748587841
248	1.74691786
249	1.740175205
250	1.73739891
251	1.735754761
252	1.734582033
253	1.732911456
254	1.728603315
255	1.728027635
256	1.723928064
257	1.716877522
258	1.713466366
259	1.711565285
260	1.706389175
261	1.70193327
262	1.700754262
263	1.699766431
264	1.699181136
265	1.69860763
266	1.697960969
267	1.696237217
268	1.695035149
269	1.691683637
270	1.689744281
271	1.689209192
272	1.687573361
273	1.68495085
274	1.679208189
275	1.678689165
276	1.676964104
277	1.676057648
278	1.675574733
279	1.673751114
280	1.67286958
281	1.670920475
282	1.668632119
283	1.667771465
284	1.663384324
285	1.657237814
286	1.656359368
287	1.655871712
288	1.653630878
289	1.651780853
290	1.650227446
291	1.648561985
292	1.643521307
293	1.640804241
294	1.637740127
295	1.636190151
296	1.634018348
297	1.632799605
298	1.627815297
299	1.627326162
300	1.625335953
301	1.621816128
302	1.621010274
303	1.61953302
304	1.616602314
305	1.616117125
306	1.614416636
307	1.613851712
308	1.612298432
309	1.610734836
310	1.608368118
311	1.604002885
312	1.601164064
313	1.598182552
314	1.597163164
315	1.595766362
316	1.595296609
317	1.590714695
318	1.589954189
319	1.588169456
320	1.587722478
321	1.584196412
322	1.583165746
323	1.581739114
324	1.580261629
325	1.574677327
326	1.569496547
327	1.567636501
328	1.566829852
329	1.564575193
330	1.562819535
331	1.561425346
332	1.560479742
333	1.559536182
334	1.557658303
335	1.556069663
336	1.554628133
337	1.553580182
338	1.552131812
339	1.551285654
340	1.550395508
341	1.548787431
342	1.544631027
343	1.543254857
344	1.539601966
345	1.535975675
346	1.535526818
347	1.534607559
348	1.533473396
349	1.529985055
350	1.527179137
351	1.525817228
352	1.525377801
353	1.5235177
354	1.52273682
355	1.521358178
356	1.518255861
357	1.517598572
358	1.516724877
359	1.514433557
360	1.51302753
361	1.510845485
362	1.508546567
363	1.508119016
364	1.507411577
365	1.506099823
366	1.505037803
367	1.503322733
368	1.502907368
369	1.501928615
370	1.501269234
371	1.500345904
372	1.498924183
373	1.496735346
374	1.496097795
375	1.494460083
376	1.494055274
377	1.491608113
378	1.489784148
379	1.488570909
380	1.486169764
381	1.484979738
382	1.484027809
383	1.482767425
384	1.482006258
385	1.479183359
386	1.477007544
387	1.476612594
388	1.475513004
389	1.470739135
390	1.466505243
391	1.465363112
392	1.464712023
393	1.463584721
394	1.462495976
395	1.460376046
396	1.458475053
397	1.456441804
398	1.455722295
399	1.453424055
400	1.452289175
401	1.45190335
402	1.450686076
403	1.44944087
404	1.4460314
405	1.443203749
406	1.442722009
407	1.441706971
408	1.440533943
409	1.438885773
410	1.437238993
411	1.436873726
412	1.435082925
413	1.43381431
414	1.432777317
415	1.430446913
416	1.429300325
417	1.428662459
418	1.428295345
419	1.427127728
420	1.425386232
421	1.424213355
422	1.423172675
423	1.422814025
424	1.422242706
425	1.42136655
426	1.420098091
427	1.419094627
428	1.417471634
429	1.416762088
430	1.416409366
431	1.415906531
432	1.414892322
433	1.414041618
434	1.413039367
435	1.411659276
436	1.409896132
437	1.409552535
438	1.408437583
439	1.407921436
440	1.4067147
441	1.403386981
442	1.402840713
443	1.402475209
444	1.402125857
445	1.400982736
446	1.399125624
447	1.398790029
448	1.396872494
449	1.394051025
450	1.393120858
451	1.392097584
452	1.391565354
453	1.388872062
454	1.387803848
455	1.387209067
456	1.386453725
457	1.384810282
458	1.384481468
459	1.38356175
460	1.382454569
461	1.381069278
462	1.379958531
463	1.37889926
464	1.378147542
465	1.377271432
466	1.37539093
467	1.372245016
468	1.370836687
469	1.369704104
470	1.369197744
471	1.36801144
472	1.36694949
473	1.365526356
474	1.363965335
475	1.362327793
476	1.361634626
477	1.360861447
478	1.359759179
479	1.359445823
480	1.358947606
481	1.355621003
482	1.355254841
483	1.354457327
484	1.354123471
485	1.353801883
486	1.353488961
487	1.352043651
488	1.351387503
489	1.348929273
490	1.348625828
491	1.347504859
492	1.346720854
493	1.345258072
494	1.344172494
495	1.343252782
496	1.342773979
497	1.34177678
498	1.33960936
499	1.337378672
500	1.333712072
501	1.333016623
502	1.3325435
503	1.331196855
504	1.330382126
505	1.329676251
506	1.328957681
507	1.328163607
508	1.32628175
509	1.324879429
510	1.32169676
511	1.321090153
512	1.320197801
513	1.318360905
514	1.318069247
515	1.317126784
516	1.315121987
517	1.313734796
518	1.311827418
519	1.311159053
520	1.310437638
521	1.309823674
522	1.308348578
523	1.30637991
524	1.305251375
525	1.30215478
526	1.301430573
527	1.300284993
528	1.299845509
529	1.296461395
530	1.294609342
531	1.294320914
532	1.293272394
533	1.291566879
534	1.290595904
535	1.289486678
536	1.288668681
537	1.288389553
538	1.28775027
539	1.286578069
540	1.285933701
541	1.285586858
542	1.283611304
543	1.282700413
544	1.280288111
545	1.279526912
546	1.278549176
547	1.277887629
548	1.276758141
549	1.276315862
550	1.272358322
551	1.269831755
552	1.269549091
553	1.26927839
554	1.26886826
555	1.26743821
556	1.266650743
557	1.265782264
558	1.26460133
559	1.263879313
560	1.263612957
561	1.263185522
562	1.262157123
563	1.260708931
564	1.259861684
565	1.258923808
566	1.257620603
567	1.256784055
568	1.254178595
569	1.253265818
570	1.252198968
571	1.251765293
572	1.250955034
573	1.249190331
574	1.248668838
575	1.247904306
576	1.246087138
577	1.24187314
578	1.240921454
579	1.240289404
580	1.239436474
581	1.238818505
582	1.238478315
583	1.237881041
584	1.237175754
585	1.233804661
586	1.232410677
587	1.23117277
588	1.230085001
589	1.228866896
590	1.228323237
591	1.224381098
592	1.223105244
593	1.222843889
594	1.22207221
595	1.221651751
596	1.220089553
597	1.219350744
598	1.218358553
599	1.217950752
600	1.215416458
601	1.214772749
602	1.213789428
603	1.213512565
604	1.213023832
605	1.212758609
606	1.212503914
607	1.211655972
608	1.211027848
609	1.209459694
610	1.208486646
611	1.20567248
612	1.205423865
613	1.203266255
614	1.20113139
615	1.20035874
616	1.199605494
617	1.197057941
618	1.195518582
619	1.194005354
620	1.193401795
621	1.193059867
622	1.192341989
623	1.190575493
624	1.189045427
625	1.188437801
626	1.187076847
627	1.186175296
628	1.185435616
629	1.185045212
630	1.183861256
631	1.182150269
632	1.179120904
633	1.178224842
634	1.177474728
635	1.176702237
636	1.176462487
637	1.176000795
638	1.175161073
639	1.173344935
640	1.172621141
641	1.171959394
642	1.17141159
643	1.170064666
644	1.169476083
645	1.168502871
646	1.168269742
647	1.16688654
648	1.166150663
649	1.163812743
650	1.162992778
651	1.161905903
652	1.161287935
653	1.160496761
654	1.157438121
655	1.157189801
656	1.154831745
657	1.15460218
658	1.154373468
659	1.153425599
660	1.152828765
661	1.152111395
662	1.151310441
663	1.148354334
664	1.147658911
665	1.14597965
666	1.14419842
667	1.141950195
668	1.141499672
669	1.141275073
670	1.140794046
671	1.139952085
672	1.138212271
673	1.137482891
674	1.137037447
675	1.136564935
676	1.13590631
677	1.135178169
678	1.13298726
679	1.132419806
680	1.132056919
681	1.131477314
682	1.13060348
683	1.128894412
684	1.128538152
685	1.127104331
686	1.126479225
687	1.126276511
688	1.125812183
689	1.125025961
690	1.124687632
691	1.124005829
692	1.120514636
693	1.1198514
694	1.118621321
695	1.117938897
696	1.115302234
697	1.114784848
698	1.113639848
699	1.113241414
700	1.112600328
701	1.111965227
702	1.111470526
703	1.111157752
704	1.110506628
705	1.110304244
706	1.10928044
707	1.108814421
708	1.105931132
709	1.105386917
710	1.104814703
711	1.104063479
712	1.101422394
713	1.100827269
714	1.100221744
715	1.099362175
716	1.098737748
717	1.098033746
718	1.096821553
719	1.096222974
720	1.095700321
721	1.092819578
722	1.092381858
723	1.09177469
724	1.090842523
725	1.090251718
726	1.087802009
727	1.086315008
728	1.085630281
729	1.08498075
730	1.084410278
731	1.082443023
732	1.079969174
733	1.078847495
734	1.078640045
735	1.078062758
736	1.07605849
737	1.075557682
738	1.073781885
739	1.071834819
740	1.071632274
741	1.071033023
742	1.070412488
743	1.070115093
744	1.069435275
745	1.068881027
746	1.066809906
747	1.064725827
748	1.06423195
749	1.063489913
750	1.062443919
751	1.061963026
752	1.059234072
753	1.059032323
754	1.058219605
755	1.05801319
756	1.057827906
757	1.057316648
758	1.056101997
759	1.054307404
760	1.053781536
761	1.052144637
762	1.051695819
763	1.050727348
764	1.049701809
765	1.049253841
766	1.047344231
767	1.047142537
768	1.044414866
769	1.044230644
770	1.044038837
771	1.043246037
772	1.042596046
773	1.042151475
774	1.041543092
775	1.039297464
776	1.038605327
777	1.03766993
778	1.037113756
779	1.036036622
780	1.035831684
781	1.034947123
782	1.034676496
783	1.031557517
784	1.031015641
785	1.030340728
786	1.02989955
787	1.029699443
788	1.027871041
789	1.02709068
790	1.02616991
791	1.025735897
792	1.024829716
793	1.023744725
794	1.023198157
795	1.022580289
796	1.020577575
797	1.020045307
798	1.019202961
799	1.018783397
800	1.018263512
801	1.017282015
802	1.016300395
803	1.015256677
804	1.01443069
805	1.013963471
806	1.013684186
807	1.012933476
808	1.011052589
809	1.00844717
810	1.006718364
811	1.005965665
812	1.005129179
813	1.004538611
814	1.004081841
815	1.002122711
816	1.000777475
817	1.000231462
818	0.9994107894
819	0.9989808176
820	0.9979376082
821	0.9968445392
822	0.9963896186
823	0.9960981297
824	0.9946127637
825	0.9934416799
826	0.9932651624
827	0.993095461
828	0.9925899086
829	0.9924052897
830	0.9916436534
831	0.9908611888
832	0.9903351987
833	0.9891250029
834	0.9888299654
835	0.9883234971
836	0.986703916
837	0.9848070574
838	0.9843175961
839	0.9839662488
840	0.982247512
841	0.9817877178
842	0.9813162884
843	0.9811384581
844	0.9803830554
845	0.9791348314
846	0.9782955404
847	0.977868339
848	0.976932712
849	0.9767616485
850	0.975874204
851	0.9750801043
852	0.9743111771
853	0.9735638674
854	0.9727584355
855	0.9720820519
856	0.9714518245
857	0.9709761924
858	0.9703647519
859	0.9695532106
860	0.9683683243
861	0.9674314157
862	0.9669481683
863	0.9646643466
864	0.9643116387
865	0.9637590687
866	0.962774207
867	0.9620438967
868	0.9613976402
869	0.9597684266
870	0.9594129441
871	0.9587660978
872	0.9585809632
873	0.9576479173
874	0.9569354561
875	0.9567292438
876	0.9561361505
877	0.9554601475
878	0.9548087776
879	0.954109794
880	0.9537949635
881	0.9525138395
882	0.9509381419
883	0.9504643834
884	0.949784935
885	0.9489099709
886	0.9482026461
887	0.9477009266
888	0.947283411
889	0.9468736378
890	0.9467035766
891	0.9459014956
892	0.9454237071
893	0.9442488562
894	0.9437761719
895	0.9432018474
896	0.9416527149
897	0.9406920158
898	0.9402199359
899	0.9386787452
900	0.9371871483
901	0.9368774418
902	0.9364113886
903	0.9340448559
904	0.933860694
905	0.9307854718
906	0.9302031307
907	0.9297156358
908	0.9295382787
909	0.9292324481
910	0.928657372
911	0.9281651522
912	0.9271905342
913	0.9265341603
914	0.9258702795
915	0.9245516908
916	0.9241437954
917	0.9223357465
918	0.9218764348
919	0.9214284389
920	0.9209984165
921	0.9192029266
922	0.9171555768
923	0.9158672398
924	0.9156893106
925	0.9142416406
926	0.9140697409
927	0.9139073426
928	0.9134583649
929	0.9128857094
930	0.9125243656
931	0.9117070347
932	0.9113268391
933	0.9108508717
934	0.9104314239
935	0.9088513187
936	0.9082569605
937	0.9078197852
938	0.9070878288
939	0.9063141492
940	0.9050963306
941	0.9043007179
942	0.9038464028
943	0.9036785547
944	0.9032578154
945	0.9026809419
946	0.9019061974
947	0.9001054593
948	0.8999462587
949	0.8995728383
950	0.8992256124
951	0.8987537943
952	0.8983415351
953	0.8968934576
954	0.8963370186
955	0.8961073265
956	0.8953777794
957	0.8950883252
958	0.8937927793
959	0.8924600207
960	0.8918324802
961	0.8910779996
962	0.8899918155
963	0.8881728337
964	0.8877983022
965	0.8867357624
966	0.885663601
967	0.8835184843
968	0.8824122787
969	0.8821059764
970	0.881663925
971	0.8808156519
972	0.8797764023
973	0.8793775493
974	0.879224623
975	0.878760309
976	0.878142828
977	0.8777610842
978	0.8769666292
979	0.8755348373
980	0.8751636762
981	0.8747336152
982	0.8743289501
983	0.8732233362
984	0.8719382821
985	0.8715002595
986	0.8713462434
987	0.8706671537
988	0.8697349626
989	0.8695859181
990	0.869295371
991	0.8683100947
992	0.8677711469
993	0.8673128369
994	0.866991695
995	0.8668500871
996	0.8653927153
997	0.8645308907
998	0.8631102504
999	0.862265681
